[11/12/2022 6:47 PM]  (INFO) -> Session Successfully Logged [true] []
[11/12/2022 6:47 PM]  (INFO) -> Session Key Successfully Logged {"username":"john"} []
[11/12/2022 7:14 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 7:14 PM]  (INFO) -> Session key obtained:  {"username":"john"} []
[11/12/2022 7:17 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 7:17 PM]  (INFO) -> Session key obtained:  {"username":"john"} []
[11/12/2022 7:19 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 7:19 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 7:32 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 7:32 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 7:35 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 7:35 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 7:40 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 7:40 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 7:42 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 7:42 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:00 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:00 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:02 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:02 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:04 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:04 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:06 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:06 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:07 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:07 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:08 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:08 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:09 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:09 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:20 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:20 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:23 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:23 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:26 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:26 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:26 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:26 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:26 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:26 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:27 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:27 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:35 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:35 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:36 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:36 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:36 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:36 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:37 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:37 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:37 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:37 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:38 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:38 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:38 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:38 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:38 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:38 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:41 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:41 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:43 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:43 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:43 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:43 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:43 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:43 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:43 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:43 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:46 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:46 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:48 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:48 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:48 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:48 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:49 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:49 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:49 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:49 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:49 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:49 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:49 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:49 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:50 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:50 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:50 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:50 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:50 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:50 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:52 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:52 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:54 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:54 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:54 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:54 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:55 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:55 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:55 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:55 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:56 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:56 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:56 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:56 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:56 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:56 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:56 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:56 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:56 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:56 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:57 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:57 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:57 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:57 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:57 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:57 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:58 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:58 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:58 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:58 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:58 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:58 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 8:59 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 8:59 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:01 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:01 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:03 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:03 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:03 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:03 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:04 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:04 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:05 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:05 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:05 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:05 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:07 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:07 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:08 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:08 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:09 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:09 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:09 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:09 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:09 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:09 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:12 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:12 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:12 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:12 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:16 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:16 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:17 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:17 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:18 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:18 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:19 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:19 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:22 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:22 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 9:27 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 9:27 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:12 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:12 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:12 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:12 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:23 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:23 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:26 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:26 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:34 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:34 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:35 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:35 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:36 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:36 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:36 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:36 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:42 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:42 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:45 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:45 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:46 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:46 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:47 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:47 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:54 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:54 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:54 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:54 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:57 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:57 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 10:58 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 10:58 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:01 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:01 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:01 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:01 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:02 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:02 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:05 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:05 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:06 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:06 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:06 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:06 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:07 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:07 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:07 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:07 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:12 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:12 PM]  (INFO) -> Session key obtained:  {"username":"boyboy"} []
[11/12/2022 11:13 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:13 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[11/12/2022 11:15 PM]  (INFO) -> Session successfully logged?  [true] []
[11/12/2022 11:15 PM]  (INFO) -> Session key obtained:  {"username":"boyboy"} []
[12/12/2022 12:06 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 12:06 PM]  (INFO) -> Session key obtained:  {"username":"elliot"} []
[12/12/2022 12:08 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 12:08 PM]  (INFO) -> Session key obtained:  {"username":"elliot"} []
[12/12/2022 12:10 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 12:10 PM]  (INFO) -> Session key obtained:  {"username":"elliot"} []
[12/12/2022 12:24 PM]  (INFO) -> Session successfully logged?  [true] []
